SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc,,
################################################################################################################,,,,,ls,,
,,,,,,,
# top,,,,,,,
# ttbar,,,,,,,
364115,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CFilterBVeto,1981.7,0.9751,0.11367,1,,
364118,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_CFilterBVeto,110.5,0.9751,0.18933,1,,
364121,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_CFilterBVeto,40.674,0.9751,0.23268,1,,
364124,    Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV280_500_CFilterBVeto,8.6668,0.9751,0.26531,1,,
,,,,,,,
#mu,,,,,,,
364102,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_BFilter,1981.5,0.9751,0.065853,,0.06574,1
364105,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_BFilter,109.05,0.9751,0.11374,1,,
364108,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_BFilter,39.888,0.9751,0.1557,1,,
364111,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_BFilter,8.5301,0.9751,0.17666,1,,
364100,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CVetoBVeto,1981.7,0.9751,0.82152,1,,
364103,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CVetoBVeto,109.07,0.9751,0.68831,1,,
364106,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CVetoBVeto,39.87,0.9751,0.61125,1,,
364109,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CVetoBVeto,8.522,0.9751,0.56046,1,,
364113,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV1000_E_CMS,0.1476,0.9751,1,1,,
364112,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV500_1000,1.7876,0.9751,1,1,,
364101,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CFilterBVeto,1982.6,0.9751,0.11357,1,,
364104,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CFilterBVeto,108.98,0.9751,0.19027,1,,
364110,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CFilterBVeto,8.5194,0.9751,0.26621,1,,
364107,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CFilterBVeto,39.857,0.9751,0.23359,1,,
,,,,,,,
#tau,,,,,,,
364130,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_BFilter,1982.1,0.9751,0.065759,1,,
364133,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_BFilter,110.63,0.9751,0.110886,1,,
364136,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_BFilter,40.735,0.9751,0.15608,1,,
364139,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_BFilter,8.6797,0.9751,0.17626,1,,
364128,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_CVetoBVeto,1981.7,0.9751,0.82142,1,,
364131,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_CVetoBVeto,110.56,0.9751,0.6926,1,,
364134,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_CVetoBVeto,40.793,0.9751,0.61823,1,,
364137,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_CVetoBVeto,8.6642,0.9751,0.56327,1,,
364140,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV500_1000,1.8079,0.9751,1,1,,
364141,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV1000_E_CMS,0.14823,0.9751,1,1,,
364129,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV0_70_CFilterBVeto,1981.6,0.9751,0.10907,1,,
364132,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_CFilterBVeto,110.55,0.9751,0.1902,1,,
364135,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV140_280_CFilterBVeto,40.718,0.9751,0.23417,1,,
364138,    Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_CFilterBVeto,8.6756,0.9751,0.26523,1,,
,,,,,,,
################################################################################################################,,,,,,,
,,,,,,,
#Higgs,,,,,,,
# ZH,,,,,,,
345055,PowhegPythia8EvtGen_NNPDF3_AZNLO_ZH125J_MINLO_llbb_VpT,0.0761,1,1,1,,
346329,PowhegPy8EG_NNPDF30_AZNLO_ggZH125_lltautau_filt,0.00576,1,0.64816,1,,
#WH,,,,,,,
345212,PowhegPy8EG_NNPDF30_AZNLO_WpH125J_Winc_MINLO_tautau,0.862,1,1,1,,
345211,PowhegPy8EG_NNPDF30_AZNLO_WmH125J_Winc_MINLO_tautau,0.54,1,1,1,,
